Date : 2023-02-26 19:15:52
Directory : d:\vueDemo\vue-cyanmusic
Total : 78 files,  32163 codes, 275 comments, 416 blanks, all 32854 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| d:\vueDemo\vue-cyanmusic\src\assets\font-awesome-4.7.0\scss\_bordered-pulled.scss    | SCSS               |         17 |          3 |          6 |         26 |
| d:\vueDemo\vue-cyanmusic\src\assets\font-awesome-4.7.0\scss\_core.scss               | SCSS               |          8 |          2 |          3 |         13 |
| d:\vueDemo\vue-cyanmusic\src\assets\font-awesome-4.7.0\scss\_fixed-width.scss        | SCSS               |          4 |          2 |          1 |          7 |
| d:\vueDemo\vue-cyanmusic\src\assets\font-awesome-4.7.0\scss\_icons.scss              | SCSS               |        786 |          2 |          2 |        790 |
| d:\vueDemo\vue-cyanmusic\src\assets\font-awesome-4.7.0\scss\_larger.scss             | SCSS               |          9 |          3 |          2 |         14 |
| d:\vueDemo\vue-cyanmusic\src\assets\font-awesome-4.7.0\scss\_list.scss               | SCSS               |         16 |          2 |          2 |         20 |
| d:\vueDemo\vue-cyanmusic\src\assets\font-awesome-4.7.0\scss\_mixins.scss             | SCSS               |         41 |         10 |         10 |         61 |
| d:\vueDemo\vue-cyanmusic\src\assets\font-awesome-4.7.0\scss\_path.scss               | SCSS               |         11 |          3 |          2 |         16 |
| d:\vueDemo\vue-cyanmusic\src\assets\font-awesome-4.7.0\scss\_rotated-flipped.scss    | SCSS               |         12 |          4 |          5 |         21 |
| d:\vueDemo\vue-cyanmusic\src\assets\font-awesome-4.7.0\scss\_screen-reader.scss      | SCSS               |          2 |          2 |          2 |          6 |
| d:\vueDemo\vue-cyanmusic\src\assets\font-awesome-4.7.0\scss\_stacked.scss            | SCSS               |         17 |          2 |          2 |         21 |
| d:\vueDemo\vue-cyanmusic\src\assets\font-awesome-4.7.0\scss\_variables.scss          | SCSS               |        794 |          3 |          4 |        801 |
| d:\vueDemo\vue-cyanmusic\src\assets\font-awesome-4.7.0\scss\font-awesome.scss        | SCSS               |         13 |          4 |          2 |         19 |
| d:\vueDemo\vue-cyanmusic\src\components\card\playlistCard.vue                        | Vue                |         82 |          2 |          6 |         90 |
| d:\vueDemo\vue-cyanmusic\src\components\comment\commentWrapper.vue                   | Vue                |        212 |          2 |          5 |        219 |
| d:\vueDemo\vue-cyanmusic\src\components\customeVue\lyricPage\lyricPage.vue           | Vue                |         53 |          0 |          6 |         59 |
| d:\vueDemo\vue-cyanmusic\src\components\customeVue\lyricPage\main.js                 | JavaScript         |          8 |          3 |          9 |         20 |
| d:\vueDemo\vue-cyanmusic\src\components\hidden\hiddenSquare.vue                      | Vue                |          8 |          0 |          1 |          9 |
| d:\vueDemo\vue-cyanmusic\src\components\login\musicLogin.vue                         | Vue                |        124 |          0 |         14 |        138 |
| d:\vueDemo\vue-cyanmusic\src\components\menus\tabMenu.vue                            | Vue                |         79 |          2 |          6 |         87 |
| d:\vueDemo\vue-cyanmusic\src\components\playFooter\lyricPage.vue                     | Vue                |        288 |          0 |         18 |        306 |
| d:\vueDemo\vue-cyanmusic\src\components\playFooter\playFooter.vue                    | Vue                |        564 |         10 |         20 |        594 |
| d:\vueDemo\vue-cyanmusic\src\components\star\subscribersWrapper.vue                  | Vue                |         34 |          0 |          5 |         39 |
| d:\vueDemo\vue-cyanmusic\src\hooks\useFormate.js                                     | JavaScript         |         27 |          5 |          2 |         34 |
| d:\vueDemo\vue-cyanmusic\src\hooks\useGetSong.js                                     | JavaScript         |         10 |          0 |          3 |         13 |
| d:\vueDemo\vue-cyanmusic\src\main.js                                                 | JavaScript         |         16 |         11 |          8 |         35 |
| d:\vueDemo\vue-cyanmusic\src\request\index.js                                        | JavaScript         |         10 |         12 |          4 |         26 |
| d:\vueDemo\vue-cyanmusic\src\router\index.js                                         | JavaScript         |         85 |          3 |         12 |        100 |
| d:\vueDemo\vue-cyanmusic\src\store\index.js                                          | JavaScript         |         81 |         28 |          3 |        112 |
| d:\vueDemo\vue-cyanmusic\src\views\dailyRmd\dailyRmd.vue                             | Vue                |         23 |          0 |          5 |         28 |
| d:\vueDemo\vue-cyanmusic\src\views\dailyRmd\dailyRmdCard.vue                         | Vue                |          7 |          3 |          1 |         11 |
| d:\vueDemo\vue-cyanmusic\src\views\headerBar\headerBar.vue                           | Vue                |         87 |         14 |          3 |        104 |
| d:\vueDemo\vue-cyanmusic\src\views\home\homePage.vue                                 | Vue                |         21 |          2 |          3 |         26 |
| d:\vueDemo\vue-cyanmusic\src\views\home\homePage\homeRmd.vue                         | Vue                |         68 |          0 |          7 |         75 |
| d:\vueDemo\vue-cyanmusic\src\views\home\homePage\newSongRmd.vue                      | Vue                |          8 |          0 |          1 |          9 |
| d:\vueDemo\vue-cyanmusic\src\views\home\homePage\playList.vue                        | Vue                |        253 |          1 |         11 |        265 |
| d:\vueDemo\vue-cyanmusic\src\views\home\homePage\singers.vue                         | Vue                |          8 |          0 |          1 |          9 |
| d:\vueDemo\vue-cyanmusic\src\views\home\homePage\songRank.vue                        | Vue                |          8 |          0 |          1 |          9 |
| d:\vueDemo\vue-cyanmusic\src\views\home\playlistcardDetail.vue                       | Vue                |        396 |          6 |         32 |        434 |
| d:\vueDemo\vue-cyanmusic\src\views\layout.vue                                        | Vue                |         88 |          6 |         11 |        105 |
| d:\vueDemo\vue-cyanmusic\src\views\leftBar\musicMenus.vue                            | Vue                |         57 |          2 |          4 |         63 |
| d:\vueDemo\vue-cyanmusic\src\views\login\loginPhone.vue                              | Vue                |         90 |          8 |         13 |        111 |
| d:\vueDemo\vue-cyanmusic\src\views\login\loginQr.vue                                 | Vue                |         80 |          0 |          9 |         89 |
| d:\vueDemo\vue-cyanmusic\src\views\recentPlay\recentPlay.vue                         | Vue                |        124 |          3 |         13 |        140 |
| d:\vueDemo\vue-cyanmusic\src\views\songList\songList.vue                             | Vue                |          8 |          0 |          1 |          9 |
| d:\vueDemo\vue-cyanmusic\vue.config.js                                               | JavaScript         |         20 |         16 |          2 |         38 |
| Total                                                                                |                    |     32,163 |        275 |        416 |     32,854 |
+--------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
